FISNumber,TrackingNumber_IC,TrackingNumber_week1,Ethica_1,App_install_week1
F514330689784,2805133,2805710,66535,13/01/2023
F514333182541,2805186,2805721,66536,13/01/2023
F514350108196,2804334,2805365,66540,13/01/2023
F514352841825,2803982,2805349,66541,13/01/2023
F514352178621,2803192,2805278,66547,13/01/2023
F514339596536,2804998,2805700,66548,13/01/2023
F514352151931,2803309,2805286,66549,13/01/2023
F514331545094,2805170,2805718,66550,13/01/2023
F514350422395,2804517,2805372,66552,13/01/2023
F514361571998,2801565,2805662,66553,13/01/2023
F514350609619,2804679,2805395,66554,13/01/2023
F514352458525,2803445,2805296,66555,13/01/2023
F514339950546,2804958,2805692,66556,13/01/2023
F514350414132,2804480,2805370,66558,13/01/2023
F514332298776,2805043,2805705,66559,13/01/2023
F514348866346,2805197,2805723,66560,13/01/2023
F514352631776,2803908,2805343,66561,13/01/2023
F514331528221,2805179,2805720,66564,13/01/2023
F514351586463,2802682,2805448,66565,13/01/2023
F514350023689,2804300,2805361,66567,13/01/2023
F514351742841,2802569,2805434,66568,13/01/2023
F514330895223,2805146,2805712,66571,13/01/2023
F514352726521,2803658,2805320,66577,14/01/2023
F514351512039,2802729,2805451,66578,13/01/2023
F514363236288,2801572,2805663,66579,13/01/2023
F514350464045,2804496,2805371,66581,13/01/2023
F514335379781,2804858,2805682,66587,14/01/2023
F514352443742,2803408,2805290,66588,14/01/2023
F514331545953,2805169,2805717,66589,14/01/2023
F514338040962,2804837,2805679,66590,14/01/2023
F514350023818,2804299,2805360,66591,14/01/2023
F514352492148,2803316,2805287,66593,14/01/2023
F514330686121,2805134,2805711,66595,14/01/2023
F514352458485,2803444,2805295,66596,14/01/2023
F514331528181,2805178,2805719,66598,14/01/2023
F514366264165,2800946,2805575,66600,14/01/2023
F514339595467,2805014,2805703,66602,14/01/2023
F514350456886,2804525,2805374,66606,14/01/2023
F514350284971,2804070,2805353,66607,14/01/2023
F514352900728,2803474,2805301,66610,14/01/2023
F514339950765,2804959,2805693,66614,14/01/2023
F514352717441,2803619,2805315,66615,14/01/2023
F514352441166,2803409,2805291,66617,14/01/2023
F514352978108,2800577,2805303,66618,14/01/2023
F514337701986,2804791,2805676,66620,15/01/2023
F514352841396,2803981,2805348,66621,14/01/2023
F514352519112,2803754,2805327,66625,15/01/2023
F514365880841,2800927,2805573,66627,15/01/2023
F514339595645,2805013,2805702,66630,15/01/2023
F514368885123,2800869,2805553,66636,15/01/2023
F514352570686,2803725,2805323,66640,15/01/2023
F514350962471,2802001,2805379,66641,15/01/2023
F514351565354,2802742,2805453,66642,16/01/2023
F514330930969,2805123,2805709,66646,16/01/2023
F514352602186,2803847,2805339,66647,16/01/2023
F514350034242,2804317,2805364,66653,16/01/2023
F514369829413,2801164,2805620,66654,16/01/2023
F514352848913,2803975,2805347,66655,16/01/2023
F514352924275,2803519,2805306,66656,16/01/2023
F514352347888,2803117,2805265,66666,16/01/2023
F514361571251,2801564,2805661,66691,16/01/2023
F514352965845,2800610,2805305,66692,16/01/2023
F514339798615,2804972,2805695,66693,16/01/2023
F514337043633,2804768,2805673,66702,16/01/2023
F514369183413,2801119,2805607,66711,16/01/2023
F514350799938,2802050,2805383,66714,16/01/2023
F514351580841,2802686,2805449,66715,16/01/2023
F514352439774,2803430,2805293,66719,16/01/2023
F514336167505,2804921,2805687,66727,16/01/2023
F514351572522,2802675,2805447,66734,16/01/2023
F514339798486,2804973,2805696,66739,16/01/2023
F514351242422,2802216,2805409,66755,17/01/2023
F514368715103,2800846,2805545,66758,17/01/2023
F514367965822,2800710,2805515,66761,17/01/2023
F514350837845,2802165,2805405,66763,17/01/2023
F514352784956,2803616,2805314,66765,17/01/2023
F514350812889,2802127,2805403,66766,17/01/2023
F514339954386,2804968,2805694,66770,17/01/2023
F514367110371,2796269,2805510,66777,17/01/2023
F514351999126,2802455,2805423,66784,17/01/2023
F514352671644,2803861,2805341,66787,17/01/2023
F514350704826,2804541,2805385,66809,17/01/2023
F514350949844,2802006,2805380,66812,17/01/2023
F514331926312,2805164,2805714,66824,18/01/2023
F514365916205,2800916,2805566,66833,18/01/2023
F514353771746,2792365,2805486,66860,18/01/2023
F514350324628,2804212,2805358,66896,18/01/2023
F514351411997,2802377,2805419,66904,18/01/2023
F514350431637,2804522,2805373,66908,18/01/2023
F514350324888,2804211,2805357,66927,18/01/2023
F514351684976,2802880,2805463,66928,18/01/2023
F514352521275,2803793,2805332,66929,18/01/2023
F514360444469,2801444,2805648,66975,19/01/2023
F514350722581,2804554,2805388,66978,19/01/2023
F514352932707,2803530,2805308,66981,19/01/2023
F514351533578,2802798,2805456,66985,19/01/2023
F514351460742,2802392,2805421,66993,19/01/2023
F514336929287,2804926,2805688,66995,20/01/2023
F514351242544,2802217,2805410,67004,20/01/2023
F514352123168,2803270,2805281,67005,20/01/2023
F514368966431,2798305,2805543,67008,20/01/2023
F514352835175,2804000,2805351,67011,20/01/2023
F514336339403,2804899,2805685,67017,20/01/2023
F514332891558,2805084,2807131,67057,21/01/2023
F514352790706,2803550,2805310,67058,21/01/2023
F514367383845,2797144,2800289,67060,21/01/2023
F514366192156,2805244,2807044,67061,21/01/2023
F514336319761,2795211,2805684,67067,21/01/2023
F514362001506,2801337,2805639,67072,21/01/2023
F514352578235,2803720,2805322,67075,22/01/2023
F514352788082,2803600,2805312,67076,22/01/2023
F514352436866,2803433,2806845,67081,22/01/2023
F514336800122,2804934,2805689,67082,22/01/2023
F514350108203,2804335,2805366,67090,22/01/2023
F514331702655,2805165,2807137,67094,23/01/2023
F514363757426,2801632,2805668,67095,23/01/2023
F514368452097,2800817,2805540,67096,23/01/2023
F514369183584,2801120,2805608,67100,23/01/2023
F514361359112,2801525,2805659,67101,23/01/2023
F514351731022,2802593,2805437,67107,23/01/2023
F514352902907,2803476,2805302,67108,23/01/2023
F514350347105,2804194,2805356,67110,23/01/2023
F514330897921,2805144,2807136,67114,23/01/2023
F514369186979,2801115,2805606,67124,23/01/2023
F514368893767,2800857,2805550,67127,23/01/2023
F514352324818,2803139,2805268,67130,23/01/2023
F514350493505,2804433,2805369,67133,24/01/2023
F514350022976,2804302,2805363,67138,24/01/2023
F514350734164,2804564,2806941,67140,24/01/2023
F514350186994,2804360,2805367,67141,24/01/2023
F514350846114,2802139,2805404,67142,24/01/2023
F514351510257,2802708,2805450,67145,24/01/2023
F514352910715,2803489,2806853,67146,24/01/2023
F514351662668,2802935,2807007,67147,24/01/2023
F514351202732,2802204,2806955,67149,24/01/2023
F514364560581,2801263,2805632,67150,24/01/2023
F514368988172,2800839,2807029,67151,24/01/2023
F514364028751,2801208,2807065,67152,24/01/2023
F514351516235,2802702,2806992,67154,24/01/2023
F514351924995,2802524,2806980,67155,24/01/2023
F514350930946,2802029,2805382,67156,24/01/2023
F514365816584,2800942,2807040,67157,24/01/2023
F514360467668,2801442,2807086,67160,21/02/2023
F514360533009,2801509,2807090,67161,24/01/2023
F514366036903,2800980,2805580,67162,24/01/2023
F514363236928,2801573,2807099,67163,24/01/2023
F514351523509,2802778,2806996,67164,24/01/2023
F514361000995,2801549,2807094,67165,24/01/2023
F514368275647,2800765,2807024,67166,24/01/2023
F514366106588,2801015,2807047,67167,24/01/2023
F514351490145,2802327,2806962,67168,24/01/2023
F514351758467,2802603,2806984,67169,24/01/2023
F514368452729,2800822,2807026,67170,24/01/2023
F514367884499,2800734,2807021,67171,24/01/2023
F514351222561,2802218,2806956,67172,24/01/2023
F514351600807,2802836,2806999,67173,24/01/2023
F514352910561,2803488,2806852,67176,24/01/2023
F514352775332,2803590,2806866,67178,24/01/2023
F514363757159,2801629,2807100,67180,24/01/2023
F514352775819,2803591,2806867,67183,24/01/2023
F514352515387,2803761,2805328,67185,24/01/2023
F514352515873,2803762,2805329,67186,24/01/2023
F514351605392,2802839,2807000,67187,24/01/2023
F514350186004,2804361,2806916,67205,26/01/2023
F514362079673,2801351,2807074,67208,25/01/2023
F514366194473,2801001,2805585,67209,25/01/2023
F514351543598,2802763,2805455,67210,25/01/2023
F514368484935,2800797,2805538,67213,25/01/2023
F514351931993,2802532,2806981,67214,30/01/2023
F514351679621,2802856,2805461,67216,25/01/2023
F514367324869,2800670,2807015,67217,25/01/2023
F514358582636,2766411,2799788,67218,25/01/2023
F514366036077,2800981,2805581,67220,25/01/2023
F514351743821,2802567,2805433,67221,25/01/2023
F514335885748,2804884,2805683,67225,25/01/2023
F514352972713,2800586,2805304,67226,25/01/2023
F514352555239,2803821,2805335,67227,25/01/2023
F514352993588,2800572,2805299,67234,26/01/2023
F514362977137,2801361,2807077,67239,26/01/2023
F514351662416,2802936,2805465,67241,26/01/2023
F514352674844,2803863,2806886,67242,26/01/2023
F514352671466,2803862,2806885,67243,26/01/2023
F514352728952,2803653,2806868,67246,26/01/2023
F514352726132,2803655,2806869,67247,26/01/2023
F514350461348,2804494,2806925,67249,26/01/2023
F514350140085,2804393,2806917,67250,26/01/2023
F514350040171,2804288,2806913,67254,26/01/2023
F514339595101,2805008,2807124,67258,26/01/2023
F514352583273,2803745,2805326,67276,26/01/2023
F514350774957,2802075,2806935,67283,26/01/2023
F514351411007,2802378,2806972,67285,26/01/2023
F514362729617,2801368,2807079,67288,26/01/2023
F514351629222,2802964,2805469,67289,26/01/2023
F514352521786,2803797,2806884,67292,26/01/2023
F514350022205,2804301,2805362,67293,26/01/2023
F514352528777,2803788,2806882,67295,26/01/2023
F514334279152,2805019,2807126,67297,26/01/2023
F514339951315,2804962,2807118,67299,26/01/2023
F514351550693,2802811,2805458,67301,26/01/2023
F514351604996,2802850,2807002,67302,26/01/2023
F514367333916,2800690,2807016,67303,26/01/2023
F514339749975,2804985,2807122,67306,26/01/2023
F514352726376,2803657,2806871,67312,27/01/2023
F514350830773,2802171,2806953,67313,27/01/2023
F514366248208,2800948,2805576,67314,27/01/2023
F514352517225,2803757,2806878,67315,27/01/2023
F514362002746,2801344,2807073,67316,27/01/2023
F514368412966,2800812,2805539,67317,27/01/2023
F514365035281,2800880,2807034,67318,27/01/2023
F514332704933,2805073,2807129,67322,27/01/2023
F514330416431,2805113,2807134,67323,27/01/2023
F514362568273,2801397,2807083,67326,27/01/2023
F514331702493,2805166,2805715,67336,27/01/2023
F514351375028,2802238,2805412,67337,27/01/2023
F514352158144,2803296,2806839,67351,28/01/2023
F514362976773,2801360,2807076,67357,28/01/2023
F514365035119,2800879,2805556,67358,28/01/2023
F514362585826,2801383,2807082,67361,28/01/2023
F514352998334,2800563,2805298,67362,28/01/2023
F514350351106,2804234,2806906,67363,29/01/2023
F514352808583,2803925,2806891,67364,28/01/2023
F514331543911,2805176,2807139,67366,28/01/2023
F514350001259,2804253,2806909,67367,28/01/2023
F514350943477,2802013,2806928,67368,29/01/2023
F514351512355,2802730,2806994,67369,29/01/2023
F514351483706,2802353,2806968,67372,29/01/2023
F514352738259,2803670,2806872,67374,29/01/2023
F514350318415,2804163,2806904,67375,29/01/2023
F514352502718,2803717,2806875,67376,29/01/2023
F514339952936,2804964,2807119,67377,29/01/2023
F514339952052,2804965,2807120,67378,29/01/2023
F514352521931,2803794,2806883,67379,29/01/2023
F514336336763,2804902,2807110,67383,30/01/2023
F514352517436,2803760,2806879,67386,30/01/2023
F514352447599,2803402,2806843,67388,30/01/2023
F514351446487,2802407,2806974,67393,30/01/2023
F514352551001,2803823,2805336,67400,30/01/2023
F514350918334,2801987,2806926,67402,30/01/2023
F514352418502,2803370,2805289,67404,30/01/2023
F514360383046,2801431,2805646,67406,30/01/2023
F514351658723,2803003,2805471,67407,30/01/2023
F514352017747,2801873,2806833,67408,30/01/2023
F514352933185,2803526,2805307,67412,30/01/2023
F514352956757,2800619,2805309,67413,30/01/2023
F514352155625,2803303,2805284,67415,30/01/2023
F514339950157,2804953,2805691,67416,30/01/2023
F514365032787,2800893,2805557,67418,30/01/2023
F514363533209,2801646,2805670,67419,30/01/2023
F514362729869,2801367,2807078,67425,30/01/2023
F514352333403,2803152,2805269,67426,30/01/2023
F514352695134,2803832,2805338,67431,31/01/2023
F514352300444,2803049,2806824,67436,31/01/2023
F514350705903,2804537,2806932,67437,31/01/2023
F514368891117,2800858,2807031,67438,31/01/2023
F514352588482,2803736,2805324,67443,31/01/2023
F514350351277,2804235,2806907,67449,31/01/2023
F514337961323,2804783,2805675,67452,31/01/2023
F514352036303,2801922,2806834,67453,31/01/2023
F514352891924,2803922,2806890,67454,31/01/2023
F514353789931,2800631,2807013,67462,01/02/2023
F514352847682,2803976,2806895,67463,01/02/2023
F514360999514,2801455,2805650,67466,02/02/2023
F514338040451,2804841,2807106,67469,01/02/2023
F514352588377,2803735,2806877,67470,01/02/2023
F514357401128,2768855,2805247,67472,01/02/2023
F514351510135,2802707,2806993,67477,01/02/2023
F514352370461,2803064,2805262,67489,01/02/2023
F514351781487,2802544,2805431,67490,01/02/2023
F514352710434,2803621,2805317,67495,01/02/2023
F514350607901,2804682,2805396,67503,02/02/2023
F514338040638,2804840,2807105,67505,02/02/2023
F514364611327,2801279,2807069,67506,02/02/2023
F514351661241,2802930,2807005,67508,02/02/2023
F514368897914,2800849,2807030,67514,02/02/2023
F514350628816,2804738,2805400,67520,02/02/2023
F514330130185,2805094,2805708,67521,02/02/2023
F514351389836,2802243,2805413,67526,03/02/2023
F514331545175,2805167,2805716,67529,03/02/2023
F514351389658,2802244,2805414,67531,03/02/2023
F514352789613,2803601,2805313,67533,03/02/2023
F514351999248,2802456,2806977,67550,03/02/2023
F514351550855,2802810,2806997,67560,03/02/2023
F514352860341,2803967,2805345,67571,04/02/2023
F514331545231,2805168,2807138,67572,04/02/2023
F514351678114,2802851,2805459,67573,04/02/2023
F514352710678,2803620,2805316,67576,04/02/2023
F514352965667,2800611,2806855,67580,04/02/2023
F514352352803,2803166,2806831,67582,04/02/2023
F514334204956,2805018,2807125,67583,04/02/2023
F514368974556,2800837,2807027,67617,05/02/2023
F514351417059,2802369,2805417,67621,05/02/2023
F514362587568,2801381,2807080,67624,05/02/2023
F514350774235,2802074,2805387,67627,05/02/2023
F514351630372,2802996,2807012,67632,06/02/2023
F514366548573,2796990,2807049,67641,06/02/2023
F514365982723,2800904,2805563,67653,06/02/2023
F514352509011,2803707,2806874,67656,06/02/2023
F514336335807,2804913,2807113,67657,06/02/2023
F514369518308,2801138,2807060,67658,06/02/2023
F514366849204,2801068,2807051,67667,07/02/2023
F514365033629,2800886,2807036,67670,07/02/2023
F514330308207,2801710,2807132,67674,07/02/2023
F514365033889,2800885,2807035,67677,07/02/2023
F514350395796,2804133,2806902,67679,07/02/2023
F514350525395,2804644,2806949,67680,07/02/2023
F514368974791,2800838,2807028,67710,07/02/2023
F514352860852,2803968,2806894,67712,07/02/2023
F514352922063,2803516,2806857,67714,07/02/2023
F514368464571,2800815,2807025,67715,07/02/2023
F514336800244,2804935,2807115,67724,08/02/2023
F514364611084,2801278,2807068,67739,08/02/2023
F514366106239,2801011,2807046,67741,08/02/2023
F514362808146,2801424,2807085,67745,08/02/2023
F514366249189,2800954,2807041,67747,08/02/2023
F514350063581,2804276,2806910,67750,09/02/2023
F514352934173,2803531,2806860,67768,09/02/2023
F514351454538,2802452,2806976,67795,09/02/2023
F514352134468,2803295,2806838,67829,09/02/2023
F514330547036,2805130,2807135,67847,09/02/2023
F514350704397,2804540,2806934,67861,09/02/2023
F514363755717,2801641,2807102,67862,09/02/2023
F514350515659,2804610,2806944,67866,09/02/2023
F514350795377,2802058,2806931,67870,09/02/2023
F514335476868,2804875,2807109,67874,09/02/2023
F514362002527,2801343,2807072,67877,09/02/2023
F514350845937,2802144,2806952,67878,09/02/2023
F514350498536,2804425,2806921,67879,09/02/2023
F514352847422,2803977,2806896,67882,09/02/2023
F514350302482,2804143,2806903,67896,10/02/2023
F514359085808,2761084,2800032,67903,10/01/2023
F514368885245,2800870,2807032,67907,10/02/2023
F514336335678,2804914,2807114,67919,11/02/2023
F514352253902,2803027,2805260,67924,11/02/2023
F514335014778,2804869,2807108,67927,11/02/2023
F514351630997,2802994,2807011,67941,12/02/2023
F514361374462,2801519,2807093,67943,12/02/2023
F514351624281,2802977,2807010,67947,12/02/2023
F514367948472,2800716,2807017,67973,13/02/2023
F514351603967,2802841,2807001,67974,13/02/2023
F514366728425,2796949,2805590,67976,13/02/2023
F514351677937,2802860,2807003,67981,13/02/2023
F514356791897,2765986,2799964,67983,13/02/2023
F514351345999,2802251,2806958,67991,14/02/2023
F514350705077,2804538,2806933,67994,14/02/2023
F514362587713,2801382,2807081,68006,14/02/2023
F514365984149,2800905,2805564,68008,14/02/2023
F514333182428,2805222,2807140,68023,14/02/2023
F514352409203,2803325,2806842,68024,14/02/2023
F514352801551,2803933,2806893,68025,14/02/2023
F514352372527,2803069,2806825,68027,14/02/2023
F514367515801,2797513,2800304,68034,15/02/2023
F514351596994,2802631,2806988,68036,15/02/2023
F514352255344,2803025,2806820,68039,15/02/2023
F514351628712,2802962,2807009,68128,17/02/2023
F514366843778,2801076,2807052,68151,18/02/2023
F514352928017,2803506,2806856,68154,18/02/2023
F514366841136,2801077,2805599,68160,19/02/2023
F514352450198,2803455,2806847,68161,19/02/2023
F514360467416,2801443,2807087,68162,19/02/2023
F514350740425,2802091,2806937,68173,20/02/2023
F514350686318,2804705,2806950,68189,20/02/2023
F514355596709,2767225,2805250,68190,20/02/2023
F514367561615,2800732,2807020,68193,20/02/2023
F514339194395,2804947,2807117,68205,21/02/2023
F514351765116,2801708,2806982,68215,21/02/2023
F514350732747,2805906,2806940,68222,21/02/2023
F514350562436,2804623,2806945,68267,23/02/2023
F514356448634,2765944,2799945,68272,23/02/2023
F514334547619,2805041,2807127,68274,23/02/2023
F514364218567,2801183,2807062,68353,24/02/2023
F514351486899,2802344,2806965,68405,27/02/2023
F514350499719,2804428,2806922,68442,27/02/2023
F514364306573,2801194,2807064,68538,02/03/2023
F514366984572,2801030,2811634,68604,02/03/2023
F514352030488,2801927,2806835,68696,05/03/2023
F514352030528,2801928,2806836,68697,05/03/2023
F514352726002,2803656,2806870,68911,11/03/2023
F514351486606,2802345,2806966,68924,12/03/2023
F514332941623,2805059,2807128,69515,14/03/2023
F514354860912,2792359,2800218,69835,21/03/2023
F514339769333,2804975,2807121,69912,23/03/2023
F514354041637,2755127,2800159,69981,26/03/2023
F514352831619,2804005,2806899,70003,27/03/2023
F514352419864,2803373,2811629,70066,29/03/2023
F514366036296,2800979,2811633,70100,29/03/2023
F514352342143,2803119,2806827,70253,05/04/2023
F514352994981,2800575,2805300,70267,05/04/2023
F514351460523,2802391,2806973,70329,07/04/2023
F514369846123,2801156,2805619,81297,13/10/2023
F514358337968,2742386,2754729,60939/60393,27/09/2022
